Top_k,Detection Threshold,Max Iters,Rotation method,Time,Mean Distance,Max Distance,RMSE
256,0.05,,PIL,11.999852180480957,38.615161183605395,38.90899177121283,38.615837070245426
256,0.05,,PIL,13.208906650543213,39.19487611506023,39.484662431596206,39.195488541847006
256,0.05,,CV2,13.553897142410278,39.787964898812014,40.07373176820757,39.78851913622342
256,0.05,,CV2,13.449393510818481,40.39383860385826,40.6756176586045,40.39433959710127
256,0.05,100,PIL,13.99777865409851,41.01193077101189,41.28975961807622,41.012383143583115
256,0.05,100,PIL,13.688349962234497,41.6416974785091,41.915618924562864,41.64210553921796
256,0.05,100,CV2,12.599785089492798,42.282617231087386,42.55267856792333,42.282984983783685
256,0.05,100,CV2,10.987176179885864,42.93419070180738,43.200443046961084,42.93452185713544
256,0.05,300,PIL,10.45368504524231,43.5959403515798,43.8584380502065,43.596238340193736
256,0.05,300,PIL,10.23674201965332,44.267409949456734,44.52621002444623,44.267677936205004
256,0.05,300,CV2,10.741692543029785,44.94816401454075,45.20332567580641,44.948404913225005
256,0.05,300,CV2,11.019284009933472,45.63778719647862,45.889371395521955,45.63800368485218
256,0.05,500,PIL,11.527295112609863,46.33588361102602,46.583952641017845,46.33607814577092
256,0.05,500,PIL,11.964720010757446,47.04207614368893,47.28669328337515,47.042250975160194
256,0.05,500,CV2,11.839850902557373,47.75600573271033,47.99723492937411,47.75616291928876
256,0.05,500,CV2,11.647339820861816,48.47733064086808,48.71523623183097,48.47747206280186
256,0.01,,PIL,11.000408172607422,49.20572572508972,49.44037218899898,49.20585309773831
256,0.01,,PIL,11.123779058456421,49.94088170942051,50.17233345018915,49.940996595843885
256,0.01,,CV2,11.273881912231445,50.682504467646304,50.91082562485985,50.68260829050333
256,0.01,,CV2,10.92067551612854,51.43031431897614,51.65556860588856,51.43040837171784
256,0.01,100,PIL,11.119020938873291,52.18404534162236,52.40629590115968,52.18413079897526
256,0.01,100,PIL,11.765289783477783,52.94344470521531,53.16275399212398,52.94352263296739
256,0.01,100,CV2,11.95707631111145,53.708272025981245,53.924701699445336,53.70834339008359
256,0.01,100,CV2,11.690549850463867,54.47829874423178,54.69190958544881,54.47836441924555
256,0.01,300,PIL,11.650179624557495,55.25330752620236,55.46415936318414,55.25336830311399
256,0.01,300,PIL,11.904654026031494,56.03309169055544,56.241243341958864,56.033148283996546
256,0.01,300,CV2,12.177716493606567,56.81745465990762,57.02296388277632,56.81750771480767
256,0.01,300,CV2,11.234785079956055,57.60620943667281,57.809132893011736,57.606259534383646
256,0.01,500,PIL,11.578537464141846,58.39917810377415,58.59957132850002,58.39922576769544
256,0.01,500,PIL,11.794734954833984,59.19619134927374,59.39410873178365,59.19623705001788
256,0.01,500,CV2,11.825826406478882,59.99708801441892,60.19258278238834,59.99713217454305
256,0.01,500,CV2,12.12916374206543,60.801714664751536,60.994838876888934,60.80175766309268
